Designator,Mid X,Mid Y,Rotation,Layer
KC_LCTL1,-123.825108,-35.869546,0.0,top
KC_LCTL_1.25U1,-126.20636,-35.86953,0.0,top
KC_LGUI1,-100.012608,-35.869546,0.0,top
KC_LGUI_1.25U1,-102.39388,-35.86953,0.0,top
KC_LSFT1,-116.681358,-16.819546,0.0,top
KC_LSFT2,-126.206358,-16.819546,0.0,top
KC_M1,28.574892,-16.819546,0.0,top
KC_MENU1,64.293642,-35.86953,0.0,top
KC_MINS1,80.962392,40.330454,0.0,top
KC_MO1,138.112392,-16.819546,0.0,top
KC_N1,9.524892,-16.819546,0.0,top
KC_O1,52.387392,21.280454,0.0,top
KC_P1,71.437392,21.280454,0.0,top
KC_Q1,-100.012608,21.280454,0.0,top
KC_QUOT1,95.249892,2.230454,0.0,top
KC_R1,-42.862608,21.280454,0.0,top
KC_RALT1,85.724892,-35.869546,0.0,top
KC_RALT_1.25U1,88.106142,-35.86953,0.0,top
KC_RBRC1,109.537392,21.280454,0.0,top
KC_RCTL1,133.349892,-35.869546,0.0,top
KC_RCTL_1.25U1,135.731142,-35.86953,0.0,top
KC_RGUI1,109.537392,-35.869546,0.0,top
KC_RGUI_1.25U1,111.918642,-35.86953,0.0,top
KC_RSFT1,111.91844,-16.819546,0.0,top
KC_RSFT_2.75U1,121.443628,-16.819546,0.0,top
KC_S1,-76.200108,2.230454,0.0,top
KC_SCLN1,76.199892,2.230454,0.0,top
KC_SLSH1,85.724892,-16.819546,0.0,top
KC_SPC1,4.762392,-35.869546,0.0,top
KC_SPC_2.75U1,26.193642,-35.86953,0.0,top
KC_SPC_3U1,42.862536,-35.869482,0.0,top
KC_SPC_6.25U1,-7.14398,-35.869578,0.0,top
KC_SPLIT_FN_1.25U1,-11.906652,-35.869578,0.0,top
KC_SPLIT_SPC_2.25U1,-45.243928,-35.86953,0.0,top
KC_SPLIT_SPC_3U1,-33.337528,-35.869482,0.0,top
KC_STEP1,-126.206358,2.230454,0.0,top
